s01.wav	Hey, just checking in about tomorrow's meeting. Can we push it to three thirty instead?
s02.wav	The quarterly numbers look strong, revenue grew twelve percent and churn dropped below two percent.
d01.wav	Please send the invoice to accounts payable by Friday the twenty first.
d02.wav	I think the root cause is a race condition between the audio callback and the ring buffer clear.
k01.wav	Add milk, eggs, sourdough bread, and two avocados to the shopping list.
k02.wav	The flight departs Sydney at six forty five in the morning and lands in Auckland around noon.
m01.wav	Let's schedule the design review for Wednesday afternoon in the large conference room.
t01.wav	The new model reduces latency by roughly forty percent while keeping accuracy unchanged.
s03.wav	Dear team, thank you all for the incredible effort on the launch. Take Friday off, you earned it.
d03.wav	Navigate to settings, then privacy and security, then microphone, and enable access for Cadence.
k03.wav	My address is forty two Wallaby Way, apartment seven, and the postcode is two thousand.
m02.wav	The recipe needs two cups of flour, a teaspoon of baking soda, and a pinch of salt.
s04.wav	Honestly the fastest fix is to revert the merge, cut a patch release, and investigate on Monday.
t02.wav	Encryption keys live in the keychain and the database is never written in plain text.
f01.wav	The train to Boston leaves from platform nine at half past four.
